iter	Passed	Remaining
0	58	58629
1	104	52146
2	118	39520
3	161	40335
4	201	40091
5	247	40976
6	300	42571
7	384	47720
8	431	47461
9	491	48655
10	538	48387
11	578	47637
12	626	47566
13	682	48050
14	732	48110
15	777	47826
16	817	47266
17	860	46952
18	904	46720
19	973	47679
20	1066	49735
21	1116	49646
22	1169	49680
23	1217	49528
24	1261	49184
25	1300	48729
26	1340	48320
27	1381	47947
28	1425	47715
29	1475	47715
30	1529	47802
31	1574	47634
32	1632	47828
33	1692	48073
34	1739	47971
35	1778	47632
36	1815	47250
37	1859	47085
38	1908	47030
39	1950	46813
40	1990	46565
41	2032	46355
42	2074	46162
43	2117	45997
44	2169	46039
45	2220	46042
46	2259	45823
47	2304	45699
48	2348	45575
49	2389	45396
50	2430	45218
51	2470	45041
52	2511	44866
53	2555	44776
54	2606	44790
55	2653	44729
56	2694	44583
57	2740	44505
58	2784	44414
59	2826	44280
60	2870	44181
61	2909	44011
62	2950	43883
63	2992	43765
64	3034	43647
65	3073	43491
66	3113	43353
67	3153	43216
68	3202	43210
69	3271	43460
70	3311	43333
71	3351	43201
72	3390	43056
73	3431	42939
74	3474	42849
75	3514	42723
76	3552	42585
77	3592	42463
78	3634	42369
79	3684	42367
80	3728	42306
81	3769	42197
82	3808	42077
83	3846	41943
84	3889	41870
85	3931	41780
86	3971	41673
87	4013	41599
88	4052	41481
89	4097	41432
90	4142	41381
91	4187	41330
92	4236	41317
93	4287	41324
94	4331	41265
95	4370	41159
96	4409	41045
97	4448	40947
98	4488	40851
99	4530	40770
100	4575	40722
101	4612	40609
102	4657	40562
103	4700	40494
104	4739	40399
105	4789	40395
106	4828	40301
107	4869	40217
108	4907	40119
109	4948	40041
110	4997	40027
111	5037	39941
112	5075	39841
113	5114	39748
114	5153	39658
115	5194	39582
116	5235	39515
117	5293	39568
118	5332	39480
119	5373	39403
120	5412	39318
121	5451	39236
122	5495	39182
123	5534	39096
124	5574	39024
125	5617	38968
126	5660	38912
127	5713	38921
128	5760	38897
129	5812	38895
130	5859	38869
131	5901	38808
132	5950	38792
133	5994	38740
134	6041	38709
135	6094	38719
136	6151	38751
137	6201	38738
138	6252	38728
139	6297	38683
140	6339	38620
141	6383	38569
142	6430	38537
143	6470	38462
144	6510	38386
145	6551	38318
146	6591	38248
147	6634	38192
148	6675	38128
149	6715	38053
150	6754	37979
151	6799	37936
152	6840	37866
153	6884	37821
154	6925	37757
155	6970	37709
156	7009	37637
157	7048	37561
158	7095	37528
159	7137	37472
160	7177	37402
161	7218	37337
162	7270	37333
163	7313	37280
164	7355	37221
165	7397	37167
166	7438	37101
167	7480	37046
168	7523	36996
169	7567	36945
170	7609	36891
171	7653	36845
172	7692	36771
173	7732	36708
174	7773	36647
175	7825	36637
176	7865	36574
177	7907	36514
178	7946	36447
179	7989	36397
180	8030	36336
181	8072	36282
182	8112	36216
183	8151	36151
184	8191	36086
185	8241	36066
186	8288	36037
187	8328	35974
188	8370	35918
189	8409	35853
190	8450	35791
191	8494	35745
192	8537	35696
193	8575	35627
194	8618	35580
195	8662	35534
196	8704	35479
197	8751	35449
198	8792	35392
199	8834	35336
200	8877	35287
201	8918	35230
202	8958	35173
203	9005	35139
204	9050	35096
205	9089	35034
206	9134	34992
207	9174	34934
208	9217	34884
209	9260	34836
210	9307	34802
211	9350	34754
212	9391	34700
213	9431	34640
214	9484	34629
215	9548	34656
216	9588	34598
217	9627	34536
218	9671	34490
219	9716	34447
220	9754	34385
221	9796	34331
222	9835	34270
223	9879	34225
224	9926	34191
225	9967	34135
226	10007	34078
227	10048	34023
228	10087	33962
229	10135	33931
230	10178	33885
231	10222	33839
232	10265	33793
233	10312	33757
234	10362	33731
235	10409	33699
236	10449	33641
237	10489	33584
238	10530	33529
239	10571	33475
240	10614	33428
241	10657	33381
242	10697	33324
243	10737	33268
244	10779	33217
245	10821	33167
246	10864	33121
247	10909	33080
248	10954	33039
249	10995	32985
250	11058	32999
251	11100	32947
252	11141	32896
253	11183	32844
254	11223	32790
255	11269	32750
256	11311	32702
257	11351	32646
258	11395	32603
259	11448	32583
260	11492	32540
261	11534	32490
262	11575	32436
263	11613	32378
264	11652	32319
265	11696	32275
266	11737	32223
267	11775	32163
268	11814	32106
269	11853	32048
270	11900	32012
271	11940	31957
272	11984	31915
273	12072	31988
274	12121	31956
275	12161	31901
276	12201	31848
277	12242	31794
278	12282	31740
279	12325	31695
280	12369	31649
281	12415	31611
282	12462	31575
283	12507	31532
284	12552	31492
285	12594	31442
286	12633	31385
287	12676	31339
288	12721	31297
289	12769	31264
290	12813	31220
291	12858	31178
292	12898	31122
293	12940	31075
294	12984	31029
295	13030	30992
296	13078	30957
297	13116	30898
298	13160	30853
299	13207	30818
300	13249	30768
301	13291	30719
302	13331	30666
303	13375	30622
304	13422	30585
305	13464	30537
306	13515	30508
307	13559	30465
308	13601	30416
309	13646	30373
310	13686	30320
311	13726	30268
312	13769	30221
313	13808	30167
314	13852	30122
315	13890	30067
316	13938	30032
317	13982	29987
318	14024	29940
319	14076	29912
320	14123	29875
321	14168	29832
322	14205	29775
323	14251	29734
324	14296	29692
325	14337	29641
326	14374	29584
327	14414	29533
328	14457	29486
329	14502	29444
330	14552	29413
331	14597	29369
332	14638	29320
333	14680	29273
334	14723	29228
335	14764	29178
336	14801	29120
337	14843	29071
338	14884	29022
339	14928	28979
340	14966	28924
341	15012	28883
342	15052	28831
343	15093	28783
344	15144	28753
345	15187	28707
346	15228	28657
347	15267	28604
348	15310	28559
349	15352	28512
350	15395	28467
351	15439	28422
352	15478	28369
353	15517	28316
354	15568	28286
355	15613	28244
356	15657	28201
357	15701	28157
358	15739	28102
359	15781	28056
360	15820	28002
361	15865	27962
362	15907	27915
363	15946	27863
364	15991	27820
365	16032	27771
366	16071	27720
367	16116	27678
368	16162	27638
369	16205	27593
370	16245	27543
371	16286	27493
372	16326	27444
373	16370	27401
374	16412	27353
375	16455	27309
376	16493	27256
377	16537	27212
378	16588	27180
379	16638	27147
380	16678	27097
381	16718	27046
382	16756	26994
383	16802	26953
384	16838	26897
385	16880	26850
386	16918	26797
387	16955	26744
388	17018	26730
389	17069	26698
390	17108	26646
391	17150	26600
392	17192	26554
393	17237	26512
394	17283	26471
395	17322	26421
396	17363	26373
397	17401	26320
398	17448	26282
399	17495	26243
400	17538	26198
401	17574	26143
402	17622	26105
403	17671	26069
404	17713	26024
405	17753	25974
406	17789	25919
407	17830	25871
408	17868	25820
409	17910	25773
410	17952	25727
411	17995	25682
412	18039	25640
413	18079	25590
414	18119	25541
415	18164	25500
416	18216	25468
417	18259	25423
418	18299	25374
419	18342	25329
420	18386	25286
421	18426	25238
422	18466	25188
423	18507	25142
424	18551	25098
425	18598	25059
426	18646	25021
427	18692	24981
428	18738	24941
429	18783	24899
430	18829	24857
431	18872	24813
